"id","id_gov.lv","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
,,,,,,,"-",,,,,,
"6553bcae",640600,3,"Kurzeme","Aizputes novads","LVA.1.2.1_0",,"0640600","LV003",56.716667,21.6,4073,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"62787685",624200,3,"Kurzeme","Alsungas novads","LVA.1.1.1_0",,"0624200","LV003",56.981667,21.566944,1289,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"285eed48",840601,3,"Kurzeme","Brocenu novads","LVA.1.3.1_0",,"0840601","LV003",56.7333,22.65,5634,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"a838d668",885100,3,"Kurzeme","Dundagas novads","LVA.1.4.1_0",,"0885100","LV003",57.516667,22.35,3641,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"18caa132",640801,3,"Kurzeme","Durbes novads","LVA.1.2.2_0",,"0640801","LV003",56.6167,21.3667,2626,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"d962a779",641000,3,"Kurzeme","Grobinas novads","LVA.1.2.3_0","ChIJT8Zmekyq-kYRoP_yaM3PAAM","0641000","LV003",56.5667,21.1,8394,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"ed1ae1d2",620200,3,"Kurzeme","Kuldigas novads","LVA.1.1.2_0","ChIJiXwf29Xc70YR6ybmN2i8sC4","0620200","LV003",56.9667,21.9667,22313,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"3b7b8a74",170000,3,"Kurzeme","Liepaja","LVA.1.2.4_0","ChIJNWS6eNKn-kYRMP3yaM3PAAM","0170000","LV003",56.511667,21.013889,68945,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"077e0866",887600,3,"Kurzeme","Mersraga novads","LVA.1.4.2_0",,"0887600","LV003",57.333333,23.116667,1439,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"f3d8c32a",647900,3,"Kurzeme","Nicas novads","LVA.1.2.5_0",,"0647900","LV003",56.345833,21.064444,3152,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"a96c3f33",641401,3,"Kurzeme","Pavilostas novads","LVA.1.2.6_0",,"0641401","LV003",56.883333,21.166667,2532,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"ddefdbcb",641600,3,"Kurzeme","Priekules novads","LVA.1.2.7_0",,"0641600","LV003",56.45,21.583333,5067,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"2ed1ea4d",888301,3,"Kurzeme","Rojas novads","LVA.1.4.3_0",,"0888301","LV003",57.5,22.8,3427,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"a2a12a18",648500,3,"Kurzeme","Rucavas novads","LVA.1.2.8_0",,"0648500","LV003",56.159167,21.161944,1478,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"58507502",840200,3,"Kurzeme","Saldus novads","LVA.1.3.2_0","ChIJgS6cntmZ70YReWYLQs93atU","0840200","LV003",56.666667,22.5,22006,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"55a686b7",621200,3,"Kurzeme","Skrundas novads","LVA.1.1.3_0",,"0621200","LV003",56.666667,22,4661,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"9da09803",880200,3,"Kurzeme","Talsu novads","LVA.1.4.4_0","ChIJ84un2X8-7kYR0GqX0A2vNmA","0880200","LV003",57.25,22.6,27730,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"1e9031cf",649300,3,"Kurzeme","Vainodes novads","LVA.1.2.9_0",,"0649300","LV003",56.418472,21.852308,2285,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
"bdeff8da",270000,3,"Kurzeme","Ventspils","LVA.1.5.1_0","ChIJ2UhCZpbI8UYRxC6oJkf7jUw","0270000","LV003",57.3937,21.5647,34377,"Oficiālās statistikas portāls (2019)","https://data.stat.gov.lv/pxweb/en/OSP_PUB/START__POP__IR__IRD/IRD060/"
